KEY_CODE,HYOSYO,PARENT,CITYNAME,NAME,HTKSYORI,HTKSAKI,GASSAN,POP,MALE,FEMALE,HOUSEHOLD,ken,BaseArea,DiffArea
"14201100002","3","142011000",横須賀市,芦名２丁目,"0",,,"1468","705","763","548","14",655665.968,12384.353
"14201100003","3","142011000",横須賀市,芦名３丁目,"0",,,"0","0","0","0","14",1784972.199,632797.668
"14201100001","3","142011000",横須賀市,芦名１丁目,"0",,,"1441","695","746","518","14",611226.645,179908.557
"14201098005","3","142010980",横須賀市,長坂５丁目,"0",,,"0","0","0","0","14",1731544.990,201143.319
"14217023029","3","142170230",南足柄市,塚原,"0",,,"618","300","318","254","14",728978.512,540013.985
"143640120","2","14364",足柄上郡山北町,神尾田,"1",,"0130","51","23","28","13","14",665066.902,665066.902
"142110440","2","14211",秦野市,西田原,"0",,,"3277","1640","1637","1302","14",1875410.770,91690.244
"142100210","2","14210",三浦市,三崎町小網代,"0",,,"3930","1925","2005","1520","14",2412068.960,23477.961
"142110760","2","14211",秦野市,三廻部,"0",,,"597","305","292","109","14",6793109.546,5766751.452
"143820090","2","14382",足柄下郡箱根町,大平台,"0",,,"397","195","202","171","14",832983.343,3056.844
"143820110","2","14382",足柄下郡箱根町,湯本,"0",,,"2333","1100","1233","1218","14",1910572.773,2695.284
"143820140","2","14382",足柄下郡箱根町,畑宿,"0",,,"101","54","47","41","14",16260037.092,10828708.380
"143640080","2","14364",足柄上郡山北町,川西,"0",,,"347","164","183","133","14",12251949.666,7154422.738
"14384007001","3","143840070",足柄下郡湯河原町,吉浜,"0",,,"137","72","65","52","14",583869.816,544113.541
"14384007004","3","143840070",足柄下郡湯河原町,吉浜,"0",,,"2140","1023","1117","876","14",10178395.931,8156330.219
"14208003003","3","142080030",逗子市,沼間３丁目,"0",,,"2504","1195","1309","967","14",647797.219,3135.712
"14208003005","3","142080030",逗子市,沼間５丁目,"0",,,"1240","580","660","494","14",976232.402,4064.720
"142170060","2","14217",南足柄市,雨坪,"0",,,"1175","574","601","394","14",304742.506,3687.168
"143820060","2","14382",足柄下郡箱根町,小涌谷,"0",,,"341","155","186","148","14",1529498.426,11979.744
"14201101002","3","142011010",横須賀市,秋谷２丁目,"0",,,"905","446","459","405","14",301924.694,301924.694
"141011240","2","14101",横浜市鶴見区,大黒ふ頭,"0",,,"0","0","0","0","14",3295816.586,2335633.308
"142120630","2","14212",厚木市,飯山,"0",,,"11333","5969","5364","4814","14",8927398.941,1068458.772
"141356070","2","14135",川崎市多摩区,菅城下,"0",,,"2746","1450","1296","1309","14",184169.656,2112.250
"141510370","2","14151",相模原市緑区,青根,"0",,,"591","287","304","223","14",36385398.251,29671782.477
"14204004001","3","142040040",鎌倉市,西御門１丁目,"0",,,"627","300","327","252","14",228767.075,44438.475
"141042620","2","14104",横浜市中区,南本牧,"0",,,"0","0","0","0","14",1400657.286,59372.617
"144010040","2","14401",愛甲郡愛川町,三増,"0",,,"1450","742","708","544","14",5697269.074,1386684.566
"143640070","2","14364",足柄上郡山北町,谷ケ,"0",,,"286","134","152","98","14",10075201.975,6254102.318
"143640130","2","14364",足柄上郡山北町,世附,"2","0120",,"2","1","1","1","14",67475540.516,67475540.516
"143820050","2","14382",足柄下郡箱根町,強羅,"0",,,"685","298","387","390","14",2963521.717,400683.776
"142140270","2","14214",伊勢原市,善波,"0",,,"370","199","171","136","14",2377881.811,174093.690
"143410150","2","14341",中郡大磯町,虫窪,"0",,,"398","182","216","94","14",1481662.616,202680.564
"141011060","2","14101",横浜市鶴見区,扇島,"0",,,"0","0","0","0","14",2805728.438,2805728.438
"141510440","2","14151",相模原市緑区,小渕,"0",,,"1796","880","916","724","14",3737974.338,2276132.521
"14211072000","3","142110720",秦野市,渋沢,"0",,,"3440","1729","1711","1233","14",2814444.739,1271681.675
"141510490","2","14151",相模原市緑区,佐野川,"0",,,"867","442","425","267","14",12057273.382,12057273.382
"142030901","2","14203",平塚市,土屋,"0",,,"2931","1506","1425","855","14",7092065.520,1393696.385
"142030902","2","14203",平塚市,上吉沢,"0",,,"1081","534","547","390","14",3093125.214,300656.901
"14341008001","3","143410080",中郡大磯町,大磯,"0",,,"1225","592","633","525","14",242481.924,242481.924
"14341008002","3","143410080",中郡大磯町,大磯,"0",,,"5015","2459","2556","2033","14",1330575.219,448691.235
"143010020","2","14301",三浦郡葉山町,上山口,"0",,,"1904","912","992","727","14",4249074.436,16789.153
"143610030","2","14361",足柄上郡中井町,岩倉,"0",,,"87","45","42","23","14",1133877.707,473790.463
"142110460","2","14211",秦野市,羽根,"0",,,"1839","931","908","684","14",1685501.125,65950.600
"14131018003","3","141310180",川崎市川崎区,殿町３丁目,"0",,,"977","474","503","588","14",1155316.343,352359.314
"142120800","2","14212",厚木市,七沢,"0",,,"2023","1040","983","666","14",13060771.599,10872288.857
"143610140","2","14361",足柄上郡中井町,境別所,"0",,,"249","124","125","81","14",891488.293,210733.067
"143820130","2","14382",足柄下郡箱根町,須雲川,"0",,,"85","33","52","47","14",368985.654,368985.654
"141310250","2","14131",川崎市川崎区,浮島町,"0",,,"0","0","0","0","14",4845166.490,3330274.107
