VALUE,MeshArea
0.81824529,435600.788
0.81786841,435601.368
0.81476241,435599.307
0.80625480,435597.742
0.76616752,435597.032
0.76228863,435595.669
0.71367800,435594.782
0.64758158,435592.645
0.57209188,435590.853
0.54373777,435610.766
0.59771031,435609.975
0.61388546,435610.762
0.63777721,435607.548
0.65537530,435606.466
0.67895019,435606.334
0.68349946,435604.941
0.72680235,435601.816
0.74186289,435603.385
0.84328890,435600.309
0.84532702,435598.754
0.81258446,435597.860
0.80888414,435598.066
0.81124806,435594.455
0.74775350,435594.845
0.67560589,435592.883
0.59448540,435591.594
0.50607514,435589.761
0.52247739,435612.487
0.58582717,435610.771
0.59893900,435608.572
0.62435246,435608.052
0.64033288,435607.637
0.65298212,435605.510
0.66883695,435604.312
0.70126063,435603.288
0.73329961,435602.115
0.78409261,435600.882
0.85173726,435598.471
0.82694733,435599.016
0.85729116,435596.222
0.84533399,435596.347
0.79264909,435592.991
0.71132874,435592.827
0.62359637,435591.493
0.53698182,435591.721
0.50739467,435611.401
0.57092911,435609.213
0.59052664,435610.853
0.60738128,435608.144
0.62048298,435606.479
0.63852704,435606.070
0.64732468,435604.434
0.70093268,435603.480
0.73461604,435600.799
0.78063339,435601.034
0.76490581,435600.040
0.83592826,435598.701
0.86601359,435595.493
0.84988618,435595.493
0.80054891,435594.946
0.71921569,435593.420
0.64275473,435591.898
0.56235051,435589.125
0.54382849,435611.638
0.56418604,435609.057
0.57934469,435607.100
0.59894848,435607.046
0.60958129,435605.540
0.62766671,435604.837
0.66855252,435603.449
0.70237029,435602.120
0.71394455,435600.735
0.75704324,435599.839
0.83765167,435596.428
0.86749268,435597.582
0.84287494,435595.636
0.79362118,435594.343
0.71868581,435592.941
0.65514570,435590.772
0.58048904,435590.669
0.50650269,435589.113
0.51053673,435610.291
0.53294098,435609.442
0.55317819,435607.795
0.57460445,435607.386
0.58591723,435605.531
0.61745942,435604.690
0.61841244,435603.077
0.65198827,435602.025
0.67764676,435600.128
0.71972740,435599.507
0.81444156,435599.162
0.83866477,435596.820
0.81270498,435595.255
0.76927912,435593.751
0.71583730,435592.308
0.65421402,435592.521
0.58843470,435589.899
0.52158785,435589.443
0.51663744,435608.832
0.53444844,435609.444
0.55010259,435606.838
0.55479467,435605.713
0.56368923,435603.253
0.59147489,435603.631
0.62084436,435602.583
0.65091008,435600.520
0.67348951,435599.071
0.71001130,435598.082
0.82714820,435596.835
0.79835808,435596.265
0.76223528,435594.343
0.71662050,435592.462
0.66402280,435591.471
0.60715657,435590.425
0.54538846,435587.476
0.50304335,435606.392
0.52770960,435606.416
0.54353845,435605.115
0.57052708,435602.167
0.58896917,435602.776
0.61050677,435600.488
0.63853580,435600.056
0.66785580,435597.699
0.71836311,435596.748
0.78742987,435594.330
0.75554413,435594.501
0.71674109,435593.320
0.67228264,435591.396
0.62391824,435590.524
0.56879616,435589.404
0.51290220,435586.989
0.52619725,435604.384
0.55271947,435604.598
0.56334555,435599.915
0.58430690,435601.917
0.60757321,435598.321
0.62940848,435598.528
0.64901334,435596.843
0.69105053,435595.616
0.75074363,435594.753
0.71440238,435593.052
0.67766583,435591.691
0.63536531,435589.320
0.59211433,435588.787
0.54181236,435587.330
0.50600213,435604.496
0.53454012,435602.042
0.53680682,435603.343
0.55548006,435600.173
0.57909614,435600.309
0.59568006,435597.197
0.62482715,435598.141
0.63965696,435594.858
0.74192142,435593.478
0.71375531,435593.351
0.68291360,435591.885
0.64971751,435590.671
0.61280042,435589.024
0.56891698,435586.953
0.51756978,435586.504
0.51037002,435601.179
0.52672410,435600.728
0.55163175,435599.172
0.56927228,435598.507
0.58720380,435595.338
0.60224396,435597.124
0.72392654,435594.003
0.69985926,435592.634
0.67261392,435590.767
0.64928585,435590.912
0.62532371,435588.946
0.58286780,435588.232
0.53584695,435585.613
0.52665240,435599.055
0.54247701,435597.857
0.55640638,435597.312
0.57099855,435595.122
0.58491302,435594.486
0.69232279,435593.229
0.66907275,435591.399
0.64588523,435589.274
0.61606377,435589.067
0.58332145,435587.337
0.52337241,435586.259
0.50842738,435599.534
0.53291911,435596.032
0.54015702,435595.920
0.56345916,435594.474
0.59826082,435591.784
0.66485500,435592.232
0.63981527,435590.658
0.61305845,435589.146
0.57663679,435586.424
0.51906514,435585.923
0.50223380,435595.009
0.53087902,435594.224
0.58335632,435593.015
0.57543200,435591.863
0.63149941,435590.164
0.60619736,435588.635
0.56520665,435588.139
0.51555640,435592.841
0.55830008,435591.754
0.61894512,435590.446
0.59098023,435588.191
0.53423440,435587.976
0.51556462,435590.249
0.52450335,435589.701
0.58124423,435589.415
0.52799475,435587.985
0.50445819,435589.949
0.54045457,435589.427
